threshold,frequency,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.05,0.5,0.0318584144115448,14.967758178710938,,0.0488525852560997,0.8622141480445862,0.005833296570926905,0.18309839069843292,0.0029638607520610094,0.9979116320610046,1.0,0.002925179898738861,0.0014946460723876953,0.5007649064064026,0.01592920928259039
0.05,0.5,0.030506707727909088,15.156045913696289,,0.0469365194439888,0.8677012324333191,0.003597026690840721,0.15163198113441467,0.001820101635530591,0.9984621405601501,1.0,0.0018017538823187351,0.00048619508743286133,0.5003675818443298,0.015253359005890943
0.05,0.5,0.03479212895035744,14.585188865661621,,0.04977498576045036,0.8746445775032043,0.0031785322353243828,0.24139916896820068,0.0015997984446585178,0.9992822408676147,1.0,0.0015917959390208125,0.0015361309051513672,0.5005593299865723,0.017396056723373476
0.05,0.5,0.03374600037932396,14.71777629852295,,0.04928610473871231,0.870249330997467,0.005760911852121353,0.180143803358078,0.0029272621031850576,0.9980371594429016,1.0,0.0028887768276035786,0.001661062240600586,0.5008076429367065,0.01687299809565853
0.05,0.5,0.0341457836329937,14.66662883758545,,0.05165029317140579,0.8569755554199219,0.0055364398285746574,0.18628033995628357,0.002809977624565363,0.9979737997055054,1.0,0.002775904256850481,0.0013311505317687988,0.5007232427597046,0.01707289638314753
0.27499999999999997,0.5,0.030070286244153976,15.218624114990234,,0.047064464539289474,0.8636134266853333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.015035151514244286
0.27499999999999997,0.5,0.029145147651433945,15.354336738586426,,0.04557497426867485,0.8687984943389893,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.014572583246219612
0.27499999999999997,0.5,0.03419588506221771,14.660261154174805,,0.049178775399923325,0.8750727772712708,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.017097944936328227
0.27499999999999997,0.5,0.032059554010629654,14.940424919128418,,0.0475996732711792,0.8715841770172119,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0160297810018336
0.27499999999999997,0.5,0.032422080636024475,14.891590118408203,,0.04992661625146866,0.8583165407180786,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01621104728936691
0.49999999999999994,0.5,0.030070286244153976,15.218624114990234,,0.047064464539289474,0.8636134266853333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.015035151492234515
0.49999999999999994,0.5,0.029145147651433945,15.354336738586426,,0.04557497054338455,0.8687984943389893,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.014572583237973528
0.49999999999999994,0.5,0.03419588506221771,14.660261154174805,,0.049178775399923325,0.8750727772712708,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.017097944951607737
0.49999999999999994,0.5,0.032059554010629654,14.940424919128418,,0.0475996732711792,0.8715841770172119,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01602978096060317
0.49999999999999994,0.5,0.032422080636024475,14.891590118408203,,0.04992661625146866,0.8583165407180786,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016211047253926934
0.725,0.5,0.030070286244153976,15.218624114990234,,0.047064464539289474,0.8636134266853333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.015035151451822633
0.725,0.5,0.029145147651433945,15.354336738586426,,0.045574966818094254,0.8687984943389893,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.01457258331206703
0.725,0.5,0.03419588506221771,14.660261154174805,,0.04917877912521362,0.8750727772712708,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.017097945055805516
0.725,0.5,0.03205954656004906,14.940425872802734,,0.0475996732711792,0.8715841770172119,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016029781046277572
0.725,0.5,0.032422080636024475,14.891590118408203,,0.04992661625146866,0.8583165407180786,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016211047354213883
0.95,0.5,0.030070288106799126,15.218623161315918,,0.047064460813999176,0.8636134266853333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.015035151547167995
0.95,0.5,0.029145147651433945,15.354336738586426,,0.04557497426867485,0.8687984943389893,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.014572583237245933
