threshold,sigmas,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.1,"range(1, 20, 4)",0.08541654795408249,10.684579849243164,,0.10268905758857727,0.8172259330749512,0.12391731142997742,0.17676526308059692,0.09539640694856644,0.9303641319274902,1.0,0.06605108827352524,0.03196430206298828,0.5105240345001221,0.04270829274468269
0.1,"range(1, 20, 4)",0.09625212848186493,10.165895462036133,0.6810859441757202,0.1092488020658493,0.8500339388847351,0.27324995398521423,0.29927974939346313,0.25138574838638306,0.9256526231765747,1.0,0.1582452356815338,0.19034510850906372,0.5885191559791565,0.04812605595216155
0.1,"range(1, 20, 4)",0.04303894564509392,13.661383628845215,,0.06164063513278961,0.8542289137840271,0.20749109983444214,0.5609697103500366,0.12728573381900787,0.9824316501617432,1.0,0.11575456708669662,0.16096484661102295,0.5546146035194397,0.02151948188726237
0.2,"range(1, 20, 4)",0.027463233098387718,15.612482070922852,,0.04473571851849556,0.8635926842689514,0.004588123876601458,0.20466399192810059,0.0023200674913823605,0.998586893081665,1.0,0.002299336716532707,0.0015552639961242676,0.5004090666770935,0.01373161311641764
0.2,"range(1, 20, 4)",0.03510814532637596,14.545920372009277,0.8552742600440979,0.048104844987392426,0.888836681842804,0.03841927647590637,0.6427057385444641,0.01980147883296013,0.9986094832420349,1.0,0.019585875794291496,0.03192931413650513,0.5092055201530457,0.017554074602376204
0.2,"range(1, 20, 4)",0.03190230205655098,14.961779594421387,,0.05050398409366608,0.8517200946807861,0.026292400434613228,0.8466154932975769,0.013353553600609303,0.9995733499526978,1.0,0.013321325182914734,0.021737754344940186,0.5064591765403748,0.015951153971748348
0.30000000000000004,"range(1, 20, 4)",0.02630813606083393,15.799098014831543,,0.043580636382102966,0.8645006418228149,1.0134935109817889e-05,1.0,5.067493475507945e-06,1.0,1.0,5.067493475507945e-06,8.702278137207031e-06,0.5000025629997253,0.013154070886396432
0.30000000000000004,"range(1, 20, 4)",0.03539459779858589,14.510629653930664,0.8579469919204712,0.04839133843779564,0.8878523111343384,0.00011971832282142714,0.5808581113815308,5.9865331422770396e-05,0.9999945163726807,1.0,5.9862744819838554e-05,9.66191291809082e-05,0.5000271797180176,0.017697309875802602
0.30000000000000004,"range(1, 20, 4)",0.033029504120349884,14.810978889465332,,0.051631201058626175,0.8500820994377136,8.040047396207228e-05,0.5543859601020813,4.020315464003943e-05,0.9999942779541016,1.0,4.020185224362649e-05,5.8591365814208984e-05,0.500016987323761,0.016514756441413404
0.4,"range(1, 20, 4)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363362648502
0.4,"range(1, 20, 4)",0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193539690692
0.4,"range(1, 20, 4)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347868282907
0.5,"range(1, 20, 4)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363374872111
0.5,"range(1, 20, 4)",0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193475080188
0.5,"range(1, 20, 4)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01651534779224915
0.6,"range(1, 20, 4)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363357118774
0.6,"range(1, 20, 4)",0.03539636358618736,14.51041316986084,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193515534512
0.6,"range(1, 20, 4)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347792612947
0.7000000000000001,"range(1, 20, 4)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363434716862
0.7000000000000001,"range(1, 20, 4)",0.03539636731147766,14.510412216186523,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.01769819353794446
0.7000000000000001,"range(1, 20, 4)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347843253612
0.8,"range(1, 20, 4)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363390151622
0.8,"range(1, 20, 4)",0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193631658796
0.8,"range(1, 20, 4)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347797815258
0.9,"range(1, 20, 4)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363352498541
0.9,"range(1, 20, 4)",0.03539636358618736,14.51041316986084,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193487303795
0.9,"range(1, 20, 4)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347719562333
0.1,"range(1, 5)",0.09923818707466125,10.033211708068848,,0.11651062965393066,0.8035231232643127,0.12100766599178314,0.15363937616348267,0.09980906546115875,0.913821816444397,1.0,0.06440030038356781,0.01599353551864624,0.5040102601051331,0.04961908078086708
0.1,"range(1, 5)",0.10933675616979599,9.612338066101074,0.6364437937736511,0.12233342975378036,0.8340924978256226,0.24009151756763458,0.24684515595436096,0.2336975783109665,0.9099318385124207,1.0,0.13642272353172302,0.1470508575439453,0.5718146562576294,0.05466837565065361
0.1,"range(1, 5)",0.04274589195847511,13.691056251525879,,0.06134757399559021,0.8513400554656982,0.17521460354328156,0.5207639336585999,0.10532615333795547,0.9829060435295105,1.0,0.09601929038763046,0.13140130043029785,0.5441192984580994,0.02137294897434913
0.2,"range(1, 5)",0.028702691197395325,15.420772552490234,,0.04597517475485802,0.8625780344009399,0.010491590946912766,0.21560658514499664,0.005376610439270735,0.9969341158866882,1.0,0.005273459013551474,0.003923892974853516,0.50105881690979,0.014351343748514983
0.2,"range(1, 5)",0.03677069768309593,14.34498119354248,0.8488895893096924,0.0497673861682415,0.887281060218811,0.030089344829320908,0.42998263239860535,0.015590156428515911,0.9973894357681274,1.0,0.01527447160333395,0.022417306900024414,0.5064897537231445,0.01838535366259748
0.2,"range(1, 5)",0.03281022980809212,14.839905738830566,,0.051411911845207214,0.850782036781311,0.015477876178920269,0.7131624817848206,0.007823838852345943,0.9994450211524963,1.0,0.007799296174198389,0.012264013290405273,0.5036401152610779,0.016405115330910696
