threshold,nscale,norient,minWaveLength,mult,sigmaOnf,k,cutOff,g,noiseMethod,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.27499999999999997,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.05665525421500206,12.467597007751465,,0.07392771542072296,0.8387917876243591,0.05301150307059288,0.12991151213645935,0.03329990804195404,0.9650430679321289,1.0,0.027227435261011124,-0.0024138689041137695,0.49993860721588135,0.02832761825848138
0.27499999999999997,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.07020307332277298,11.536438941955566,0.5359493494033813,0.08319978415966034,0.8605091571807861,0.10762390494346619,0.19045990705490112,0.07500309497117996,0.9597309827804565,1.0,0.05687236413359642,0.04724520444869995,0.5173670053482056,0.03510154244489968
0.27499999999999997,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.0519137866795063,12.847172737121582,,0.0705154687166214,0.8371034264564514,0.07633546739816666,0.2545858919620514,0.04489903524518013,0.9768154621124268,1.0,0.03968231752514839,0.032860636711120605,0.5121259689331055,0.02595689654146554
0.49999999999999994,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.02845865674316883,15.457855224609375,,0.045731138437986374,0.8625537753105164,0.0030866912566125393,0.08971595764160156,0.0015703599201515317,0.9975026249885559,1.0,0.0015457312110811472,-0.001582503318786621,0.5000755190849304,0.014229327711020806
0.49999999999999994,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03675142675638199,14.347256660461426,0.833710789680481,0.049748118966817856,0.8868340253829956,0.007727912161499262,0.2322010099887848,0.003929342608898878,0.9983587861061096,1.0,0.0038789440877735615,0.004010438919067383,0.5011440515518188,0.01837570846255403
0.49999999999999994,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03508663922548294,14.54858112335205,,0.05368831008672714,0.8484017848968506,0.006279801484197378,0.1816406548023224,0.00319513282738626,0.9974612593650818,1.0,0.0031497906893491745,0.0011023879051208496,0.5008755326271057,0.017543316277317565
0.725,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.026470990851521492,15.772296905517578,,0.043743494898080826,0.8643478155136108,0.00010403747000964358,0.042440928518772125,5.208257061894983e-05,0.999815821647644,1.0,5.202144166105427e-05,-0.0002282857894897461,0.49998950958251953,0.013235498706765277
0.725,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03541504964232445,14.5081205368042,0.8575040698051453,0.048411790281534195,0.8878353834152222,7.005532825132832e-05,0.17138102650642395,3.5034823667956516e-05,0.9999786019325256,1.0,3.502889012452215e-05,2.4259090423583984e-05,0.5000067949295044,0.017707535531080794
0.725,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03318427503108978,14.79067611694336,,0.051785968244075775,0.8499397039413452,0.00011997319961665198,0.05656759440898895,6.0050278989365324e-05,0.9998233914375305,1.0,5.9990197769366205e-05,-0.00019812583923339844,0.49999868869781494,0.016592141254061638
0.95,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.026308758184313774,15.798995971679688,,0.04358126223087311,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154382411542093
0.95,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03539636358618736,14.51041316986084,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193547548726
0.95,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03303072601556778,14.81081771850586,,0.05163242295384407,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.016515366801634294
0.05,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.20690633356571198,6.842261791229248,,0.2241787165403366,0.7161763906478882,0.15802644193172455,0.13212162256240845,0.19656693935394287,0.7976189255714417,1.0,0.0857919231057167,-0.004822254180908203,0.4951990246772766,0.10345312082208694
