threshold,frequency,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.3,0.9,0.8304946422576904,0.8066315650939941,,0.8521436452865601,0.2489672601222992,0.28614604473114014,0.1699008196592331,0.9060829877853394,0.11805476248264313,1.0,0.16696056723594666,0.008826017379760742,0.4806250035762787,0.4152476140174595
0.3,0.9,0.8615613579750061,0.6471378803253174,,0.8784583806991577,0.19604867696762085,0.23730845749378204,0.13703493773937225,0.8846105933189392,0.08266308158636093,1.0,0.13462845981121063,-0.009982109069824219,0.46635913848876953,0.43078123584323386
0.3,0.9,0.8631991744041443,0.6388897895812988,,0.8836232423782349,0.2117754966020584,0.2754788398742676,0.16229087114334106,0.9104897975921631,0.0741250067949295,1.0,0.15974220633506775,-0.005396485328674316,0.4781091809272766,0.4315997777381042
0.3,0.45,0.027073316276073456,15.67458438873291,,0.0487220399081707,0.8338733911514282,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.013536652693818336
0.3,0.45,0.03758341819047928,14.250036239624023,,0.054478999227285385,0.8586122393608093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018791711630808474
0.3,0.45,0.03711794316768646,14.304160118103027,,0.057541146874427795,0.8354181051254272,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018558973558818834
0.9,0.45,0.027073316276073456,15.67458438873291,,0.048722043633461,0.8338733911514282,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.013536652662889493
0.9,0.45,0.037583425641059875,14.250035285949707,,0.05447900667786598,0.8586122393608093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018791711653786767
0.9,0.45,0.03711794316768646,14.304160118103027,,0.057541146874427795,0.8354181051254272,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018558973493407495
0.9,0.05,0.027073316276073456,15.67458438873291,,0.0487220399081707,0.8338733911514282,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01353665260972918
0.9,0.05,0.03758341819047928,14.250036239624023,,0.05447900667786598,0.8586122393608093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01879171162332773
0.9,0.05,0.03711794689297676,14.304160118103027,,0.057541146874427795,0.8354181051254272,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01855897356408306
0.1,0.05,0.02708035334944725,15.673456192016602,,0.04872908070683479,0.833869457244873,2.1897098122281022e-05,0.23999999463558197,1.0949048373731785e-05,0.999993085861206,1.0,1.0948669114441145e-05,6.794929504394531e-06,0.5000014901161194,0.013540169428609512
0.1,0.05,0.03759099543094635,14.249161720275879,,0.054486583918333054,0.8586077094078064,2.5728162654559128e-05,0.22395023703575134,1.2864820746472105e-05,0.9999926090240479,1.0,1.2864246855315287e-05,9.47713851928711e-06,0.5000025033950806,0.018795500030829852
0.1,0.05,0.03711848706007004,14.304097175598145,,0.057541683316230774,0.8354175686836243,0.0,0.0,0.0,0.9999994039535522,1.0,0.0,-9.5367431640625e-07,0.49999964237213135,0.018559245107832478
0.5,0.7,0.027073316276073456,15.67458438873291,,0.048722043633461,0.8338733911514282,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.013536652716405126
0.5,0.7,0.03758341819047928,14.250036239624023,,0.05447900667786598,0.8586122393608093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018791711634175413
0.5,0.7,0.03711794316768646,14.304160118103027,,0.057541146874427795,0.8354181051254272,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018558973530787122
0.1,0.9,0.8803324103355408,0.5535330176353455,,0.9019820094108582,0.21527816355228424,0.2938273847103119,0.17273755371570587,0.9827157258987427,0.062387075275182724,1.0,0.1722143590450287,0.01567453145980835,0.49630206823349,0.4401663453102309
