threshold,sigma,low_threshold,high_threshold,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.725,2,0.1,0.4,0.12014160305261612,9.203064918518066,,0.1417902708053589,0.7566191554069519,0.10321920365095139,0.13305680453777313,0.08431238681077957,0.8905579447746277,1.0,0.05441809818148613,-0.0294492244720459,0.49029913544654846,0.060070792526182214
0.725,2,0.1,0.4,0.12941165268421173,8.880266189575195,,0.14630714058876038,0.7975592017173767,0.23790882527828217,0.2543153464794159,0.2234908789396286,0.8920910358428955,1.0,0.13501505553722382,0.1217450499534607,0.5590250492095947,0.06470581454040625
0.725,2,0.1,0.4,0.07333404570817947,11.346942901611328,,0.0937572494149208,0.8227634429931641,0.219695046544075,0.3988528251647949,0.15159928798675537,0.9549864530563354,1.0,0.12340304255485535,0.1419048309326172,0.5571621656417847,0.03666702574239678
0.49999999999999994,0.5,0.29,0.3,0.7325772047042847,1.3514659404754639,,0.754225492477417,0.32283806800842285,0.28731662034988403,0.17409773170948029,0.8216509819030762,0.22346317768096924,1.0,0.16775815188884735,0.01812368631362915,0.5047105550765991,0.3662886069594136
0.49999999999999994,0.5,0.29,0.3,0.7311318516731262,1.360042929649353,,0.7480268478393555,0.31215378642082214,0.2553671896457672,0.1507587879896164,0.8342041969299316,0.22618767619132996,1.0,0.14637301862239838,0.02087223529815674,0.5185154676437378,0.36556585240046746
0.49999999999999994,0.5,0.29,0.3,0.7287307977676392,1.3743287324905396,,0.7491535544395447,0.3258039057254791,0.29145777225494385,0.17620672285556793,0.8425276875495911,0.2240065187215805,1.0,0.17058856785297394,0.026420891284942627,0.5289356112480164,0.3643652532640567
0.725,1.5,0.29,0.3,0.19155485928058624,7.177067756652832,,0.21320372819900513,0.7089230418205261,0.1777377426624298,0.16745294630527496,0.1893685758113861,0.8124301433563232,1.0,0.09753686189651489,0.0017092227935791016,0.5028000473976135,0.09577742856595703
0.725,1.5,0.29,0.3,0.21242932975292206,6.727855205535889,,0.229325070977211,0.7336165904998779,0.2650938928127289,0.21731311082839966,0.3398075997829437,0.7984651327133179,1.0,0.15280012786388397,0.11192291975021362,0.5688121914863586,0.10621470405542081
0.725,1.5,0.29,0.3,0.14863170683383942,8.278884887695312,,0.16905486583709717,0.7710261344909668,0.27897125482559204,0.2895461916923523,0.2691415548324585,0.8699001669883728,1.0,0.16209565103054047,0.14309030771255493,0.5732834935188293,0.07431586150759184
0.95,0.5,0.29,0.5,0.5949336886405945,2.255314350128174,,0.6165825128555298,0.42092788219451904,0.2758093476295471,0.17406904697418213,0.6637727618217468,0.37254762649536133,1.0,0.15996451675891876,0.017080605030059814,0.5060203075408936,0.2974668185316051
0.95,0.5,0.29,0.5,0.6104300022125244,2.143641233444214,,0.6273260116577148,0.4108211100101471,0.2586052715778351,0.1572863608598709,0.7267636060714722,0.35879480838775635,1.0,0.14850468933582306,0.03405708074569702,0.5335818529129028,0.30521522805176443
0.95,0.5,0.29,0.5,0.5940285921096802,2.2619264125823975,,0.6144518256187439,0.43000438809394836,0.29288455843925476,0.1840129941701889,0.7172419428825378,0.37341707944869995,1.0,0.1715669333934784,0.0419047474861145,0.5431296229362488,0.2970143057701227
0.27499999999999997,1.5,0.1,0.5,0.15898123383522034,7.986540794372559,,0.18062983453273773,0.7269653677940369,0.133426234126091,0.14112089574337006,0.12652727961540222,0.8465863466262817,1.0,0.07148189097642899,-0.028047680854797363,0.48871639370918274,0.07949056505136272
0.27499999999999997,1.5,0.1,0.5,0.185048446059227,7.327145099639893,,0.20194393396377563,0.7545761466026306,0.25942370295524597,0.2262323945760727,0.3040287494659424,0.8287677764892578,1.0,0.1490447223186493,0.11611884832382202,0.5662797093391418,0.09252416573949421
0.27499999999999997,1.5,0.1,0.5,0.11389666795730591,9.434889793395996,,0.13432000577449799,0.7951943874359131,0.2615206241607666,0.3216278851032257,0.22034211456775665,0.9084433913230896,1.0,0.15043067932128906,0.14742565155029297,0.5682088732719421,0.05694833674566791
0.49999999999999994,2,0.29,0.5,0.07224395871162415,11.411983489990234,,0.09389281272888184,0.7950829267501831,0.05867502838373184,0.12385687977075577,0.03844347596168518,0.9458227753639221,1.0,0.03022421896457672,-0.021735072135925293,0.49501362442970276,0.03612200016310415
0.49999999999999994,2,0.29,0.5,0.07655160874128342,11.160456657409668,,0.09344726800918579,0.8339744806289673,0.1635824292898178,0.28428903222084045,0.11482763290405273,0.9523964524269104,1.0,0.089076928794384,0.08950865268707275,0.5354472994804382,0.03827581350083616
0.49999999999999994,2,0.29,0.5,0.04795803502202034,13.191385269165039,,0.06838120520114899,0.834577739238739,0.1287023276090622,0.48337551951408386,0.07423381507396698,0.9843696355819702,1.0,0.06877704709768295,0.08877122402191162,0.5317685008049011,0.023979021552339667
0.27499999999999997,2,0.15,0.3,0.1514894962310791,8.196174621582031,,0.17313826084136963,0.7375519275665283,0.14894239604473114,0.16144108772277832,0.13823994994163513,0.8569485545158386,1.0,0.08046340942382812,-0.005105257034301758,0.5001363754272461,0.07574473117026793
0.27499999999999997,2,0.15,0.3,0.1650545299053192,7.82372522354126,,0.1819501519203186,0.7718856334686279,0.26051926612854004,0.24048151075839996,0.2841997742652893,0.8521928787231445,1.0,0.1497684121131897,0.1267673373222351,0.5687280893325806,0.08252729557624969
0.27499999999999997,2,0.15,0.3,0.10159839689731598,9.931130409240723,,0.12202157080173492,0.8066298365592957,0.26542896032333374,0.35410431027412415,0.21227160096168518,0.9237216711044312,1.0,0.15302282571792603,0.16205400228500366,0.5721543431282043,0.05079919738212788
0.05,1.5,0.29,0.5,0.11819156259298325,9.274134635925293,,0.13984034955501556,0.757712721824646,0.10044205188751221,0.13105374574661255,0.08142313361167908,0.8924450278282166,1.0,0.052876535803079605,-0.030802369117736816,0.49050673842430115,0.059095779928835246
0.05,1.5,0.29,0.5,0.12666665017604828,8.973376274108887,,0.14356233179569244,0.7987770438194275,0.23562699556350708,0.2545012831687927,0.21935895085334778,0.8941898345947266,1.0,0.13354715704917908,0.1204981803894043,0.5584200024604797,0.06333334083011256
0.05,1.5,0.29,0.5,0.0729236900806427,11.371313095092773,,0.09334690123796463,0.8217831254005432,0.21528248488903046,0.3909682631492615,0.14853616058826447,0.9544164538383484,1.0,0.12062551826238632,0.13708019256591797,0.5554910898208618,0.03646183396417644
0.05,0.5,0.29,0.4,0.6685761213302612,1.7484912872314453,,0.690224826335907,0.36815202236175537,0.28211236000061035,0.17387473583221436,0.7473240494728088,0.2926122546195984,1.0,0.16422048211097717,0.01721012592315674,0.5047851800918579,0.3342880614052545
0.05,0.5,0.29,0.4,0.6733970642089844,1.7172877788543701,,0.6902924180030823,0.35931333899497986,0.25675737857818604,0.15356668829917908,0.7827013731002808,0.2895939350128174,1.0,0.14728721976280212,0.02666652202606201,0.5256727933883667,0.33669843388889414
